Date/Time,3m T,5m T,7m T,Surface PAR
7/2/19 9:03,21.76,20.83,17.82,260
7/2/19 9:18,21.81,20.83,17.94,437
7/2/19 9:33,21.83,20.83,17.99,473
7/2/19 9:48,21.88,20.84,17.92,866
7/2/19 10:03,21.9,20.84,17.85,974
7/2/19 10:18,21.92,20.84,17.63,840
7/2/19 10:33,21.95,20.82,17.58,1006
7/2/19 10:48,22.02,20.84,17.54,727
7/2/19 11:03,22,20.85,17.75,187
7/2/19 11:18,22.05,20.8,17.62,1095
7/2/19 11:33,22.03,20.89,17.66,323
7/2/19 11:48,21.98,20.95,17.86,726
7/2/19 12:03,21.98,20.93,17.74,646
7/2/19 12:18,21.73,20.97,17.79,292
7/2/19 12:33,21.73,20.91,17.8,497
7/2/19 12:48,21.68,20.96,17.71,220
7/2/19 13:03,21.66,21,17.64,1577
7/2/19 13:18,21.7,21.03,17.59,158
7/2/19 13:33,21.79,21.07,17.59,880
7/2/19 13:48,21.97,21.09,17.5,1321
7/2/19 14:03,22,21.17,17.43,1606
7/2/19 14:18,22.02,21.11,17.53,543
7/2/19 14:33,22.4,21.09,17.59,709
7/2/19 14:48,22.17,21.06,17.57,1236
7/2/19 15:03,22.05,21.05,17.61,1040
7/2/19 15:18,22.04,20.99,17.54,1019
7/2/19 15:33,22,20.89,17.38,429
7/2/19 15:48,22.3,20.83,16.92,971
7/2/19 16:03,21.87,20.27,16.82,157
7/2/19 16:18,21.85,20.09,16.98,193
7/2/19 16:33,22.73,20.07,16.96,160
7/2/19 16:48,22.33,19.84,16.86,144
7/2/19 17:03,21.9,19.41,17.23,169
7/2/19 17:18,22.18,19.31,15.89,184
7/2/19 17:33,22.09,19.32,15.88,178
7/2/19 17:48,22.06,19.37,15.84,151
7/2/19 18:03,22.13,19.36,16.42,90
7/2/19 18:18,22.14,19.28,16.34,85
7/2/19 18:33,22.15,19.3,16.53,79
7/2/19 18:48,22.08,19.14,16.55,57
7/2/19 19:03,21.84,18.96,16.59,48
7/2/19 19:18,21.4,19.1,16.75,40
7/2/19 19:33,21.2,19.16,16.85,33
7/2/19 19:48,21.22,19.18,17.1,19
7/2/19 20:03,21.37,19.21,17.13,14
7/2/19 20:18,21.17,19.25,17.25,9
7/2/19 20:33,21.3,19.24,17.32,6
7/2/19 20:48,21.49,19.25,17.18,8
7/2/19 21:03,21.7,19.49,16.75,5
7/2/19 21:18,21.29,19.38,16.95,5
7/2/19 21:33,21.49,19.4,17.21,5
7/2/19 21:48,21.43,19.42,17.41,5
7/2/19 22:03,21.42,19.44,17.4,3
7/2/19 22:18,21.48,19.45,17.55,3
7/2/19 22:33,21.36,19.42,17.59,3
7/2/19 22:48,21.3,19.46,17.59,5
7/2/19 23:03,21.27,19.45,17.82,6
7/2/19 23:18,21.31,19.51,17.8,5
7/2/19 23:33,21.35,19.48,18.03,3
7/2/19 23:48,21.44,19.55,18.13,3
7/3/19 0:03,21.37,19.56,18.21,5
7/3/19 0:18,21.45,19.55,18.21,5
7/3/19 0:33,21.5,19.68,18.11,3
7/3/19 0:48,21.51,19.75,18.06,3
7/3/19 1:03,21.59,19.65,18.1,5
7/3/19 1:18,21.69,19.87,18.18,5
7/3/19 1:33,21.81,19.8,18.32,3
7/3/19 1:48,21.87,19.96,18.35,5
7/3/19 2:03,21.91,19.87,18.62,5
7/3/19 2:18,21.9,20.27,18.81,3
7/3/19 2:33,21.86,20.24,18.96,1
7/3/19 2:48,21.85,20.23,19.05,6
7/3/19 3:03,21.86,20.11,19.05,3
7/3/19 3:18,21.84,20.24,18.97,5
7/3/19 3:33,21.85,20.12,18.81,5
7/3/19 3:48,21.83,20.08,18.91,5
7/3/19 4:03,21.8,19.98,18.75,5
7/3/19 4:18,21.79,19.83,18.63,6
7/3/19 4:33,21.8,19.91,18.3,6
7/3/19 4:48,21.76,20.13,17.62,8
7/3/19 5:03,21.74,20.21,17.71,14
7/3/19 5:18,21.71,20.22,17.51,24
7/3/19 5:33,21.68,20.2,17.35,34
7/3/19 5:48,21.67,20.2,17.35,55
7/3/19 6:03,21.67,20.26,17.6,94
7/3/19 6:18,21.67,20.14,17.82,96
7/3/19 6:33,21.68,20.21,17.99,109
7/3/19 6:48,21.67,20.23,17.57,208
7/3/19 7:03,21.67,20.2,17.73,217
7/3/19 7:18,21.68,20.22,17.22,228
7/3/19 7:33,21.68,20.3,17.29,254
7/3/19 7:48,21.68,20.35,17.39,301
7/3/19 8:03,21.65,20.32,17.46,305
7/3/19 8:18,21.65,20.32,17.5,428
7/3/19 8:33,21.64,20.37,17.6,418
7/3/19 8:48,21.65,20.44,17.96,512
7/3/19 9:03,21.66,20.52,18.02,474
7/3/19 9:18,21.67,20.42,18.31,582
7/3/19 9:33,21.68,20.38,18.39,436
7/3/19 9:48,21.69,20.19,18.62,756
7/3/19 10:03,21.69,20.23,18.44,702
7/3/19 10:18,21.65,20.26,18.36,835
7/3/19 10:33,21.63,20.24,18.4,959
7/3/19 10:48,21.58,20.27,18.45,955
7/3/19 11:03,21.6,20.3,18.41,1113
7/3/19 11:18,21.62,20.24,18.39,784
7/3/19 11:33,21.66,20.27,18.52,800
7/3/19 11:48,21.71,20.3,18.52,774
7/3/19 12:03,21.67,20.34,18.6,504
7/3/19 12:18,21.75,20.34,18.62,1043
7/3/19 12:33,21.77,20.26,18.7,1128
7/3/19 12:48,21.78,20.19,18.68,213
7/3/19 13:03,21.81,20.3,18.86,908
7/3/19 13:18,21.83,20.31,18.65,308
7/3/19 13:33,21.85,20.22,18.39,254
7/3/19 13:48,21.82,20.27,18.33,1538
7/3/19 14:03,21.88,20.37,18.63,992
7/3/19 14:18,21.88,20.41,18.78,480
7/3/19 14:33,21.94,20.78,18.39,886
7/3/19 14:48,21.93,20.58,18.48,237
7/3/19 15:03,22.06,20.54,18.48,961
7/3/19 15:18,22.08,20.75,18.52,355
7/3/19 15:33,22,20.83,18.48,286
7/3/19 15:48,21.95,20.97,18.54,209
7/3/19 16:03,22.03,21.09,18.43,211
7/3/19 16:18,22.01,20.94,18.35,175
7/3/19 16:33,22.03,21.02,18.66,156
